Nome,Descricao,Tipo,Peso,TipoEmbalagem,Preco
Loção Hidratante,Loção hidratante para pele seca,Hidratante,200ml,Frasco,25.99
Shampoo Revitalizante,Shampoo para cabelos danificados,Shampoo,300ml,Frasco,15.50
Perfume Floral,Perfume com fragrância floral,Perfume,50ml,Vidro,50.75
Sabonete de Aloe Vera,Sabonete enriquecido com Aloe Vera,Sabonete,100g,Barras,8.99
Creme Anti-idade,Creme para prevenção de sinais de envelhecimento,Creme,50g,Pote,35.20
Máscara Capilar Reparadora,Máscara capilar para reparação intensiva,Máscara,150ml,Tubo,18.75
Bálsamo Labial,Bálsamo labial hidratante,Bálsamo,10g,Tubo,6.99
Gel de Limpeza Facial,Gel de limpeza facial para pele sensível,Gel,120ml,Frascos Pump,12.30
Condicionador Brilho Intenso,Condicionador para cabelos brilhantes,Condicionador,250ml,Frasco,14.25
Esfoliante Corporal,Esfoliante corporal com partículas naturais,Esfoliante,200g,Pote,19.50
Shampoo Anticaspa,Shampoo anticaspa com zinco,Shampoo,200ml,Frasco,13.99
Creme para Mãos e Unhas,Creme hidratante para mãos e unhas,Creme,75g,Tubo,9.80
Óleo Corporal Relaxante,Óleo corporal para relaxamento e hidratação,Óleo,100ml,Vidro,22.45
Lápis de Olhos Delineador,Lápis de olhos para um delineado perfeito,Lápis,1.2g,Embalagem Retrátil,7.50
Máscara de Cílios Volume,Máscara de cílios para volume intenso,Máscara,8ml,Tubo,16.80
Protetor Solar FPS 50+,Protetor solar com alto fator de proteção solar,Protetor Solar,120ml,Frasco,28.99
Gel Fixador de Cabelo,Gel fixador para modelar cabelos,Gel,150ml,Tubo,10.50
Batom Matte,Batom com efeito matte e longa duração,Batom,3.5g,Bala,12.25
Creme Depilatório,Creme depilatório para remoção de pelos,Creme,100ml,Tubo,15.75
Sérum Iluminador,Sérum facial iluminador para pele radiante,Sérum,30ml,Frasco Pump,29.90
Shampoo 2 em 1,Shampoo e condicionador em um único produto,Shampoo,400ml,Frasco,17.40
Esponja de Maquiagem,Esponja macia para aplicação de maquiagem,Esponja,N/A,Embalagem Unitária,6.99
Creme Relaxante para Pés,Creme para pés cansados e inchados,Creme,120g,Pote,11.20
Gel de Banho Energizante,Gel de banho com fragrância energizante,Gel,250ml,Frasco,14.99
Condicionador Cachos Perfeitos,Condicionador para cabelos cacheados,Condicionador,200ml,Frasco,16.30
Bálsamo Pós-barba,Bálsamo para acalmar a pele após o barbear,Bálsamo,75ml,Tubo,8.75
Sabonete Líquido Suave,Sabonete líquido para pele sensível,Sabonete,150ml,Frasco Pump,9.95
Creme Noturno Anti-rugas,Creme noturno para redução de rugas,Creme,50g,Pote,32.50
Esmalte de Unhas Elegante,Esmalte de unhas de longa duração,Esmalte,10ml,Vidro,5.99
Tônico Facial Revitalizante,Tônico facial para revitalização da pele,Tônico,200ml,Frasco,18.40
Creme Corporal Firmador,Creme corporal para firmeza da pele,Creme,180g,Pote,24.90
Shampoo Antioxidante,Shampoo com propriedades antioxidantes,Shampoo,250ml,Frasco,16.80
Batom Hidratante,Batom hidratante com vitamina E,Batom,4g,Bala,13.50
Gel de Limpeza Facial Refrescante,Gel de limpeza facial refrescante,Gel,150ml,Frascos Pump,11.99
Máscara Facial de Argila,Máscara facial de argila purificante,Máscara,100g,Pote,20.50
Condicionador Nutritivo,Condicionador nutritivo para cabelos secos,Condicionador,300ml,Frasco,15.75
Perfume Amadeirado,Perfume com fragrância amadeirada,Perfume,75ml,Vidro,42.50
Sabonete Líquido Esfoliante,Sabonete líquido esfoliante para corpo,Sabonete,200ml,Frasco Pump,12.99
Creme para Área dos Olhos,Creme para redução de bolsas e olheiras,Creme,15g,Tubo,28.50
Spray Fixador de Maquiagem,Spray fixador para maquiagem de longa duração,Spray,100ml,Aerossol,18.99
Shampoo Revigorante,Shampoo para cabelos normais,Shampoo,350ml,Frasco,14.20
Loção Bronzeadora,Loção bronzeadora com fator de proteção solar,Loção,150ml,Frasco,19.75
Gel de Barbear,Gel de barbear para um barbear suave,Gel,200ml,Tubo,9.30
Base Líquida Matte,Base líquida de acabamento matte,Base,30ml,Vidro,21.60
Desodorante Roll-On,Desodorante roll-on antitranspirante,Desodorante,50ml,Roll-On,7.25
Creme para Cutículas,Creme para hidratação e cuidado das cutículas,Creme,12g,Pote,5.99
Máscara de Hidratação Capilar,Máscara capilar para hidratação intensiva,Máscara,200ml,Pote,17.90
Creme Facial Antiacne,Creme facial para controle de acne,Creme,50g,Tubo,14.30
Shampoo Volumizador,Shampoo para dar volume aos cabelos,Shampoo,300ml,Frasco,15.80
Perfume Cítrico,Perfume com fragrância cítrica,Perfume,60ml,Vidro,38.25
Sabonete Líquido Relaxante,Sabonete líquido com aroma relaxante,Sabonete,250ml,Frasco Pump,10.99
Gel Pós-sol,Gel pós-sol para alívio da pele após exposição solar,Gel,120ml,Tubo,13.50
Creme para Pentear,Creme para pentear cabelos cacheados,Creme,150ml,Frasco,12.45
Batom Líquido Matte,Batom líquido de longa duração e efeito matte,Batom,5ml,Embalagem com Aplicador,16.20
Removedor de Maquiagem Bifásico,Removedor de maquiagem bifásico suave,Removedor,100ml,Frasco,9.99
Hidratante Labial com FPS,Hidratante labial com proteção solar,Hidratante,4g,Bala,6.75
Tônico Adstringente,Tônico adstringente para pele oleosa,Tônico,150ml,Frasco,13.50
Creme Relaxante para Olhos,Creme para área dos olhos com efeito relaxante,Creme,20g,Tubo,22.80
Esmalte de Unhas Vibrante,Esmalte de unhas com cor vibrante,Esmalte,12ml,Vidro,4.99
Loção Corporal Iluminadora,Loção corporal com partículas iluminadoras,Loção,200ml,Frasco,21.99
